Company Name,Domain,Website,City,Country,Founded Year,Revenue,Employee Growth (6mo),LinkedIn URL
iLoF,ilof.tech,http://www.ilof.tech,London,United Kingdom,2019,3.2M,0.0,http://www.linkedin.com/company/iloftech
Imagen Insights,imageninsights.com,http://www.imageninsights.com,London,United Kingdom,2019,N/A,-0.05882352941176471,http://www.linkedin.com/company/imageninsights
Impli,impli.org,http://www.impli.org,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/impli
incentifi,incentifi.io,http://www.incentifi.io,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/incentifi
infoHealth Solutions,infohealth-solutions.co.uk,http://www.infohealth-solutions.co.uk,London,United Kingdom,2006,N/A,-1.0,http://www.linkedin.com/company/infohealth-solutions-ltd
Inside Agent,insideagent365.com,http://www.insideagent365.com,London,United Kingdom,2024,N/A,N/A,http://www.linkedin.com/company/insideagent
InsiderCX,insidercx.com,http://www.insidercx.com,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/insidercx
Inspired Education Group,inspirededu.com,http://www.inspirededu.com,London,United Kingdom,2003,195M,0.0728744939271255,http://www.linkedin.com/company/inspirededu
Installio,installio.co.uk,http://www.installio.co.uk,London,United Kingdom,N/A,N/A,N/A,http://www.linkedin.com/company/installio
Integrated Finance,integrated.finance,http://www.integrated.finance,London,United Kingdom,2019,1M,0.1111111111111111,http://www.linkedin.com/company/integratedfinance
International Schools Partnership Limited,internationalschoolspartnership.com,http://www.internationalschoolspartnership.com,London,United Kingdom,2013,250M,0.0673854447439353,http://www.linkedin.com/company/international-schools-partnership-limited
Investa,investa.co.uk,http://www.investa.co.uk,London,United Kingdom,N/A,N/A,0.0,http://www.linkedin.com/company/investauk
Invyted,invyted.com,http://www.invyted.com,London,United Kingdom,2022,N/A,0.6666666666666666,http://www.linkedin.com/company/invyted
IONETIC,ionetic.com,http://www.ionetic.com,London,United Kingdom,2022,N/A,N/A,http://www.linkedin.com/company/ionetic
Iron Games,iron.gs,http://www.iron.gs,London,United Kingdom,N/A,N/A,N/A,http://www.linkedin.com/company/iron-games
Isembard,isembard.com,http://www.isembard.com,London,United Kingdom,2024,N/A,0.6666666666666666,http://www.linkedin.com/company/isembard
ivee,ivee.jobs,http://www.ivee.jobs,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/iveejobs
Jack & Jill,jackandjill.ai,http://www.jackandjill.ai,London,United Kingdom,2025,N/A,0.125,http://www.linkedin.com/company/jackandjillai
Jennis,jennis.com,http://www.jennis.com,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/jennis-cyclemapping
Jigcar,jigcar.com,http://www.jigcar.com,London,United Kingdom,2023,N/A,N/A,http://www.linkedin.com/company/jigcar
JJCFinTech,jjcfintech.com,http://www.jjcfintech.com,London,United Kingdom,2017,N/A,0.0,http://www.linkedin.com/company/jjcfintech
Dig,joindig.co.uk,http://www.joindig.co.uk,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/joindig
RORA,joinrora.com,http://www.joinrora.com,London,United Kingdom,2017,N/A,0.0,http://www.linkedin.com/company/joinrora
JTRE London,jtrelondon.co.uk,http://www.jtrelondon.co.uk,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/jtre-london
JULIENNE BRUNO®,juliennebruno.com,http://www.juliennebruno.com,London,United Kingdom,2020,1M,0.0,http://www.linkedin.com/company/juliennebruno
Kampus,kampus24.com,http://www.kampus24.com,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/kampus24
Kavida AI (Acquired by QAD),kavida.ai,http://www.kavida.ai,London,United Kingdom,2020,1.2M,-0.4736842105263158,http://www.linkedin.com/company/kavida-ai
Kester,kestercapital.com,http://www.kestercapital.com,London,United Kingdom,2007,15M,0.0,http://www.linkedin.com/company/kester-capital
Keyless (part of Ping Identity),keyless.io,http://www.keyless.io,London,United Kingdom,2019,8M,0.0,http://www.linkedin.com/company/keylesstech
Keyzy,keyzy.com,http://www.keyzy.com,London,United Kingdom,2020,1M,-0.2857142857142857,http://www.linkedin.com/company/keyzy-homes
Kinleigh Folkard & Hayward,kfh.co.uk,http://www.kfh.co.uk,London,United Kingdom,1977,111M,0.0,http://www.linkedin.com/company/kinleigh-folkard-&-hayward
KidsKnowBest,kidsknowbest.co.uk,http://www.kidsknowbest.co.uk,London,United Kingdom,2017,1.2M,0.0,http://www.linkedin.com/company/kids-know-best
Kikin,kikin.io,http://www.kikin.io,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/kikin-finance
Kinfolk,kinfolkhq.com,http://www.kinfolkhq.com,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/kinfolkhq
Kraken,kraken.tech,http://www.kraken.tech,London,United Kingdom,2019,500M,0.1166306695464363,http://www.linkedin.com/company/krakentech
Kuppa,kuppa.co.uk,http://www.kuppa.co.uk,London,United Kingdom,2022,N/A,N/A,http://www.linkedin.com/company/yourkuppa
LabGenius Therapeutics,labgeniustx.com,http://www.labgeniustx.com,London,United Kingdom,2012,2.3M,0.0,http://www.linkedin.com/company/labgeniustx
LaunchLemonade🍋,launchlemonade.app,http://www.launchlemonade.app,London,United Kingdom,2024,N/A,-1.0,http://www.linkedin.com/company/launchlemonade
Le Col,lecol.cc,http://www.lecol.cc,London,United Kingdom,2011,N/A,0.0,http://www.linkedin.com/company/le-col
LegalGeek,legalgeek.co,http://www.legalgeek.co,London,United Kingdom,2015,N/A,0.0,http://www.linkedin.com/company/legalgeek
Legl,legl.com,http://www.legl.com,London,United Kingdom,2019,1.5M,1.666666666666667,http://www.linkedin.com/company/legl-uk
Levellr,levellr.com,http://www.levellr.com,London,United Kingdom,2021,N/A,0.0,http://www.linkedin.com/company/levellr
Lickd,lickd.co,http://www.lickd.co,London,United Kingdom,2016,N/A,0.0,http://www.linkedin.com/company/lickd
Limetrack,limetrack.earth,http://www.limetrack.earth,London,United Kingdom,2021,N/A,-1.0,http://www.linkedin.com/company/limetrack
ListAlpha,listalpha.com,http://www.listalpha.com,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/joinlistalpha
LOAH,loah.beer,http://www.loah.beer,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/loah-beer
Loctax,loctax.com,http://www.loctax.com,London,United Kingdom,2020,4.1M,0.0,http://www.linkedin.com/company/loctax
London City Airport,londoncityairport.com,http://www.londoncityairport.com,London,United Kingdom,1987,144M,0.0,http://www.linkedin.com/company/london-city-airport
Long Harbour Ltd,longharbour.co.uk,http://www.longharbour.co.uk,London,United Kingdom,2009,N/A,0.0,http://www.linkedin.com/company/long-harbour-ltd
Longshot Limited,longshotltd.com,http://www.longshotltd.com,London,United Kingdom,1994,N/A,0.0,http://www.linkedin.com/company/longshot-limited
Low Carbon,lowcarbon.com,http://www.lowcarbon.com,London,United Kingdom,2011,2.4M,0.0,http://www.linkedin.com/company/low-carbon
Loxa,loxacover.com,http://www.loxacover.com,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/loxa-cover
Luna Daily,luna-daily.com,http://www.luna-daily.com,London,United Kingdom,2019,1.5M,0.5,http://www.linkedin.com/company/luna-daily
Lúnasa Space,lunasaspace.com,http://www.lunasaspace.com,London,United Kingdom,2021,N/A,0.0,http://www.linkedin.com/company/lunasaspace
Lupa,lupapets.com,http://www.lupapets.com,London,United Kingdom,2023,N/A,0.1666666666666667,http://www.linkedin.com/company/lupapets
Macro Hive,macrohive.com,http://www.macrohive.com,London,United Kingdom,2019,388K,0.0,http://www.linkedin.com/company/macro-hive
MAGIC AI,magic.fit,http://www.magic.fit,London,United Kingdom,2021,N/A,0.0,http://www.linkedin.com/company/magicfit2021
Magma Maths,magmamaths.co.uk,http://www.magmamaths.co.uk,London,United Kingdom,N/A,N/A,N/A,http://www.linkedin.com/company/magma-maths-uk
ManaMind,manamind.ai,http://www.manamind.ai,London,United Kingdom,2025,N/A,-1.0,http://www.linkedin.com/company/manamind
Manors Golf Apparel,manorsgolf.com,http://www.manorsgolf.com,London,United Kingdom,N/A,N/A,0.0,http://www.linkedin.com/company/manors-golf
Manual,manual.co,http://www.manual.co,London,United Kingdom,2018,150.2M,0.1867469879518072,http://www.linkedin.com/company/manualco
Marleybones,marleybones.com,http://www.marleybones.com,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/marleybones
MARSS Group,marss.com,http://www.marss.com,London,United Kingdom,2005,18.3M,-0.03125,http://www.linkedin.com/company/marssgroup
Mater-AI,mater-ai.com,http://www.mater-ai.com,London,United Kingdom,2023,N/A,N/A,http://www.linkedin.com/company/mater-ai
Matter Real Estate,matterrealestate.co.uk,http://www.matterrealestate.co.uk,London,United Kingdom,2021,N/A,1.0,http://www.linkedin.com/company/matterrealestate
MaxOptra,maxoptra.com,http://www.maxoptra.com,London,United Kingdom,1999,N/A,0.0,http://www.linkedin.com/company/maxoptra
Me3,me3.io,http://www.me3.io,London,United Kingdom,2021,N/A,0.1,http://www.linkedin.com/company/me3labs
Media Marketing Compliance,mediamarketingcompliance.com,http://www.mediamarketingcompliance.com,London,United Kingdom,2019,N/A,-0.07692307692307693,http://www.linkedin.com/company/media-marketing-compliance
Dex,meetdex.ai,http://www.meetdex.ai,London,United Kingdom,2025,N/A,0.0,http://www.linkedin.com/company/meetdex
Linda AI,meetlinda.ai,http://www.meetlinda.ai,London,United Kingdom,N/A,N/A,N/A,http://www.linkedin.com/company/meetlinda
Mesh-AI,mesh-ai.com,http://www.mesh-ai.com,London,United Kingdom,2021,14M,0.0,http://www.linkedin.com/company/wearemesh-ai
Milliways,milliwaysfood.com,http://www.milliwaysfood.com,London,United Kingdom,N/A,N/A,0.0,http://www.linkedin.com/company/milliwaysfood
Missouri Creative,missouri-creative.com,http://www.missouri-creative.com,London,United Kingdom,2013,232K,0.0,http://www.linkedin.com/company/missouri-creative
MML Capital Partners,mmlcapital.com,http://www.mmlcapital.com,London,United Kingdom,1988,24.0M,0.0,http://www.linkedin.com/company/mml-capital-partners
Mobihealth International,mobihealthinternational.com,http://www.mobihealthinternational.com,London,United Kingdom,2017,N/A,0.07692307692307693,http://www.linkedin.com/company/mobihealthinternational
Modo Energy,modoenergy.com,http://www.modoenergy.com,London,United Kingdom,2019,N/A,0.1,http://www.linkedin.com/company/modo-energy
Mondra,mondra.com,http://www.mondra.com,London,United Kingdom,2020,N/A,-0.05263157894736842,http://www.linkedin.com/company/mondra
Monolith,monolithai.com,http://www.monolithai.com,London,United Kingdom,2016,2.5M,0.0,http://www.linkedin.com/company/monolith-ai
Monq,monq.io,http://www.monq.io,London,United Kingdom,2025,N/A,N/A,http://www.linkedin.com/company/monqai
Montagu,montagu.com,http://www.montagu.com,London,United Kingdom,1968,26.9M,0.0,http://www.linkedin.com/company/montagupe
Motorway,motorway.co.uk,http://www.motorway.co.uk,London,United Kingdom,2017,83M,-0.05263157894736842,http://www.linkedin.com/company/motorway-online-ltd.
Movmenta,movmenta.com,http://www.movmenta.com,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/movmenta
Mutable Tactics,mutabletactics.ai,http://www.mutabletactics.ai,London,United Kingdom,2024,N/A,N/A,http://www.linkedin.com/company/mutabletactics
MyARC,myarc.fitness,http://www.myarc.fitness,London,United Kingdom,2019,N/A,-0.375,http://www.linkedin.com/company/my-arc
native,native.fm,http://www.native.fm,London,United Kingdom,2015,N/A,0.4545454545454545,http://www.linkedin.com/company/nativecampus
Nesti,nesti.io,http://www.nesti.io,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/nesti-io
Network Auctions (Part of BTG Eddisons),networkauctions.co.uk,http://www.networkauctions.co.uk,London,United Kingdom,N/A,554K,N/A,http://www.linkedin.com/company/network-auctions
Nexcade,nexcade.ai,http://www.nexcade.ai,London,United Kingdom,N/A,N/A,N/A,http://www.linkedin.com/company/nexcadeai
NI for Health & Clinical Excellence,nice.org.uk,http://www.nice.org.uk,London,United Kingdom,1999,75M,0.07692307692307693,http://www.linkedin.com/company/national-institute-for-health-and-care-excellence
Ninja Tune,ninjatune.net,http://www.ninjatune.net,London,United Kingdom,1990,21M,0.0,http://www.linkedin.com/company/ninja-tune
NorthRow (an ID-Pal company),northrow.com,http://www.northrow.com,London,United Kingdom,2010,5.5M,0.0,http://www.linkedin.com/company/northrow
Not On The High Street,notonthehighstreet.com,http://www.notonthehighstreet.com,London,United Kingdom,2006,33M,0.0,http://www.linkedin.com/company/notonthehighstreet-com
Notpla,notpla.com,http://www.notpla.com,London,United Kingdom,2014,2.3M,0.0,http://www.linkedin.com/company/notpla
Novastar Ventures,novastarventures.com,http://www.novastarventures.com,London,United Kingdom,2014,N/A,-0.07692307692307693,http://www.linkedin.com/company/novastar-ventures
nPlan,nplan.io,http://www.nplan.io,London,United Kingdom,2017,1M,0.6666666666666666,http://www.linkedin.com/company/nplan
nsave,nsave.com,http://www.nsave.com,London,United Kingdom,2022,N/A,0.7,http://www.linkedin.com/company/nsavecom
NSE (National Student Esports),nse.gg,http://www.nse.gg,London,United Kingdom,2018,N/A,0.0,http://www.linkedin.com/company/national-student-esports
Nucleus Commercial Finance,nucleuscommercialfinance.com,http://www.nucleuscommercialfinance.com,London,United Kingdom,2011,4.1M,0.0,http://www.linkedin.com/company/nucleus-commercial-finance-ltd-
Nyxium,nyxium.ai,http://www.nyxium.ai,London,United Kingdom,N/A,N/A,2.0,http://www.linkedin.com/company/nyxium-ai
OceanSaver,ocean-saver.com,http://www.ocean-saver.com,London,United Kingdom,2018,N/A,0.0,http://www.linkedin.com/company/oceansaver
OctaiPipe,octaipipe.ai,http://www.octaipipe.ai,London,United Kingdom,2016,N/A,0.0,http://www.linkedin.com/company/octaipipe
Odore,odore.com,http://www.odore.com,London,United Kingdom,2018,N/A,0.08333333333333333,http://www.linkedin.com/company/odore
Ogre AI,ogre.ai,http://www.ogre.ai,London,United Kingdom,2021,N/A,0.0,http://www.linkedin.com/company/ogre-ai
Ohalo,ohalo.co,http://www.ohalo.co,London,United Kingdom,2017,1.2M,0.1333333333333333,http://www.linkedin.com/company/ohalo-limited
OK COOL,okcool.io,http://www.okcool.io,London,United Kingdom,2016,166.3M,0.1590909090909091,http://www.linkedin.com/company/ok-cool
OneHive 🐝,onehive.ai,http://www.onehive.ai,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/onehive.ai
ONE Strategy Studio,onestrategystudio.com,http://www.onestrategystudio.com,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/one-strategy-studio
OptimalSlope Ltd,optimalslope.com,http://www.optimalslope.com,London,United Kingdom,2021,N/A,0.0,http://www.linkedin.com/company/optimalslope
Optimizon,optimizon.co.uk,http://www.optimizon.co.uk,London,United Kingdom,2016,1.3M,0.1666666666666667,http://www.linkedin.com/company/optimizon-ltd
Ori,ori.co,http://www.ori.co,London,United Kingdom,2018,11M,-0.1666666666666667,http://www.linkedin.com/company/ori-global-cloud
Ostium,ostium.com,http://www.ostium.com,London,United Kingdom,N/A,1M,0.1875,http://www.linkedin.com/company/ostium-labs
OUNO,ounoapp.com,http://www.ounoapp.com,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/ouno-app
Oval Real Estate,ovalrealestate.com,http://www.ovalrealestate.com,London,United Kingdom,N/A,N/A,0.0,http://www.linkedin.com/company/oval-real-estate-limited
Overmind,overmindlab.ai,http://www.overmindlab.ai,London,United Kingdom,N/A,N/A,N/A,http://www.linkedin.com/company/over-mind-ai
Packamama,packamama.com,http://www.packamama.com,London,United Kingdom,N/A,N/A,0.2,http://www.linkedin.com/company/packamama
Pallma AI,pallma.ai,http://www.pallma.ai,London,United Kingdom,2025,N/A,N/A,http://www.linkedin.com/company/pallma-ai
Pantaloon,pantaloon.io,http://www.pantaloon.io,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/pantaloon-interactive
Paragon Global Brands,paragon.world,http://www.paragon.world,London,United Kingdom,2010,1.3B,0.2083333333333333,http://www.linkedin.com/company/paragon-global-brands
Park Square Capital,parksquarecapital.com,http://www.parksquarecapital.com,London,United Kingdom,2004,38.8M,0.05555555555555555,http://www.linkedin.com/company/park-square-capital
Partnerbrite,partnerbrite.com,http://www.partnerbrite.com,London,United Kingdom,N/A,N/A,-0.4,http://www.linkedin.com/company/partnerbrite
Patchwork Health,patchwork.health,http://www.patchwork.health,London,United Kingdom,2016,8M,0.0,http://www.linkedin.com/company/heypatchwork
Peachaus,peachaus.com,http://www.peachaus.com,London,United Kingdom,2021,N/A,0.0,http://www.linkedin.com/company/peachaus
Pearson Ham Group | The Pricing Specialists,pearsonhamgroup.com,http://www.pearsonhamgroup.com,London,United Kingdom,2013,N/A,-0.8333333333333334,http://www.linkedin.com/company/pearson-ham-group
Pensight,pensight.com,http://www.pensight.com,London,United Kingdom,N/A,N/A,0.3333333333333333,http://www.linkedin.com/company/pensight
PerchPeek,perchpeek.com,http://www.perchpeek.com,London,United Kingdom,2018,4.8M,0.2222222222222222,http://www.linkedin.com/company/perchpeek
PerfectTed,perfectted.com,http://www.perfectted.com,London,United Kingdom,2021,N/A,0.3333333333333333,http://www.linkedin.com/company/perfectted
Perfumer H,perfumerh.com,http://www.perfumerh.com,London,United Kingdom,2015,N/A,0.0,http://www.linkedin.com/company/perfumer-h
permutable.ai,permutable.ai,http://www.permutable.ai,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/permutableai
Pharos Architectural Controls Ltd,pharoscontrols.com,http://www.pharoscontrols.com,London,United Kingdom,2004,4M,0.0,http://www.linkedin.com/company/pharoscontrols
Phenna Group,phennagroup.com,http://www.phennagroup.com,London,United Kingdom,2019,628.3M,0.0,http://www.linkedin.com/company/phenna-group
Pixels,pixels.ai,http://www.pixels.ai,London,United Kingdom,N/A,N/A,0.5,http://www.linkedin.com/company/pixels-ai
Planda,planda.ai,http://www.planda.ai,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/planda-ai
Plandek,plandek.com,http://www.plandek.com,London,United Kingdom,2017,3M,0.1428571428571428,http://www.linkedin.com/company/plandek
Planky,planky.com,http://www.planky.com,London,United Kingdom,2014,7.5M,N/A,http://www.linkedin.com/company/planky-official
Plantec Ventures,plantec.io,http://www.plantec.io,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/plantec-ltd
Play AI,playai.network,http://www.playai.network,London,United Kingdom,N/A,N/A,-0.2857142857142857,http://www.linkedin.com/company/playainetwork
Playter,playter.co,http://www.playter.co,London,United Kingdom,2021,500K,-1.0,http://www.linkedin.com/company/playtertech
Ploy,ploy.io,http://www.ploy.io,London,United Kingdom,2023,N/A,N/A,http://www.linkedin.com/company/joinploy
Polaron,polaron.ai,http://www.polaron.ai,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/polaron-ai
PolyModels Hub,polymodelshub.com,http://www.polymodelshub.com,London,United Kingdom,2023,N/A,N/A,http://www.linkedin.com/company/polymodels-hub
Ponda,ponda.bio,http://www.ponda.bio,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/pondabio
Pontaq,pontaq.vc,http://www.pontaq.vc,London,United Kingdom,2015,N/A,0.05882352941176471,http://www.linkedin.com/company/pontaq
Preventr®,preventr.co,http://www.preventr.co,London,United Kingdom,2024,N/A,N/A,http://www.linkedin.com/company/preventr
Procure Ai,procure.ai,http://www.procure.ai,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/procureai
ProFinda,profinda.com,http://www.profinda.com,London,United Kingdom,2011,450K,0.0,http://www.linkedin.com/company/profinda-com
ProtonDx,protondx.com,http://www.protondx.com,London,United Kingdom,2020,N/A,0.25,http://www.linkedin.com/company/protondx
Qlarifi,qlarifi.com,http://www.qlarifi.com,London,United Kingdom,2023,N/A,-1.0,http://www.linkedin.com/company/qlarifi
Qualis Flow (Qflow),qualisflow.com,http://www.qualisflow.com,London,United Kingdom,2018,1M,0.0,http://www.linkedin.com/company/qualis-flow
Querio,querio.ai,http://www.querio.ai,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/querioai
Ranger Fire & Security,rangerfs.com,http://www.rangerfs.com,London,United Kingdom,2022,N/A,N/A,http://www.linkedin.com/company/ranger-fire-and-security
Raylo,raylo.com,http://www.raylo.com,London,United Kingdom,2019,38M,0.25,http://www.linkedin.com/company/raylo
Royal College of Art,rca.ac.uk,http://www.rca.ac.uk,London,United Kingdom,1836,125M,0.03125,http://www.linkedin.com/school/royal-college-of-art
Reelables,reelables.com,http://www.reelables.com,London,United Kingdom,2018,N/A,0.5,http://www.linkedin.com/company/reelables
Reflo®,reflo.com,http://www.reflo.com,London,United Kingdom,2001,N/A,0.06666666666666667,http://www.linkedin.com/company/refloofficial
REG Technologies,reg.uk.com,http://www.reg.uk.com,London,United Kingdom,2013,6M,1.0,http://www.linkedin.com/company/reg-uk
Relation,relationrx.com,http://www.relationrx.com,London,United Kingdom,2019,15.2M,0.0,http://www.linkedin.com/company/relation-therapeutics
Replacer,replacer.com,http://www.replacer.com,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/replacer.com
Resurrect Bio,resurrect.bio,http://www.resurrect.bio,London,United Kingdom,2022,3.5M,N/A,http://www.linkedin.com/company/resurrectbio
Retail247,retail247.com,http://www.retail247.com,London,United Kingdom,2014,N/A,0.0,http://www.linkedin.com/company/retail247-consulting-litd
Rightcharge,rightcharge.com,http://www.rightcharge.com,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/rightcharge
Roarsome,roarsome.com,http://www.roarsome.com,London,United Kingdom,2017,N/A,N/A,http://www.linkedin.com/company/roarsome
Salary Finance,salaryfinance.com,http://www.salaryfinance.com,London,United Kingdom,2015,16.8M,-0.08333333333333333,http://www.linkedin.com/company/salaryfinance
Sandtable,sandtable.com,http://www.sandtable.com,London,United Kingdom,2005,2M,2.0,http://www.linkedin.com/company/sandtable-ltd.
Sanome,sanome.com,http://www.sanome.com,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/sanome
SAPI,sapi.com,http://www.sapi.com,London,United Kingdom,2020,58M,0.07692307692307693,http://www.linkedin.com/company/sapigroup
SatVu,satellitevu.com,http://www.satellitevu.com,London,United Kingdom,2016,6M,0.6666666666666666,http://www.linkedin.com/company/satvu
Saturn,saturnos.com,http://www.saturnos.com,London,United Kingdom,2023,N/A,0.02777777777777778,http://www.linkedin.com/company/saturntechnology
Saulderson Media,saulderson.com,http://www.saulderson.com,London,United Kingdom,2018,N/A,0.0,http://www.linkedin.com/company/saulderson
Save the Children International,savethechildren.net,http://www.savethechildren.net,London,United Kingdom,1919,1.1B,-0.006714517249363279,http://www.linkedin.com/company/save-the-children-international
Scaleup Finance,scaleup.finance,http://www.scaleup.finance,London,United Kingdom,2021,4M,0.0,http://www.linkedin.com/company/scaleup-finance
Scan.com,scan.com,http://www.scan.com,London,United Kingdom,2017,14.4M,0.1081081081081081,http://www.linkedin.com/company/scan.com
Seamflow,seamflow.com,http://www.seamflow.com,London,United Kingdom,2025,N/A,0.0,http://www.linkedin.com/company/seamflow
Searchable,searchable.com,http://www.searchable.com,London,United Kingdom,2025,2.7M,N/A,http://www.linkedin.com/company/trysearchable
Seat Unique,seatunique.com,http://www.seatunique.com,London,United Kingdom,2018,N/A,-0.25,http://www.linkedin.com/company/seat-unique
Sen,sen.com,http://www.sen.com,London,United Kingdom,2014,N/A,-0.04166666666666666,http://www.linkedin.com/company/sen
Shackleton Design and Manufacturing Co. Ltd.,shackleton.com,http://www.shackleton.com,London,United Kingdom,2016,N/A,0.0,http://www.linkedin.com/company/shackletonofficial
SharpCloud from Lumivero,sharpcloud.com,http://www.sharpcloud.com,London,United Kingdom,2012,5.5M,-0.1666666666666667,http://www.linkedin.com/company/sharpcloud-software-ltd-
SheerLuxe,sheerluxe.com,http://www.sheerluxe.com,London,United Kingdom,2007,3.2M,0.0,http://www.linkedin.com/company/sheerluxe
SheMed,shemed.co.uk,http://www.shemed.co.uk,London,United Kingdom,2024,N/A,0.3333333333333333,http://www.linkedin.com/company/shemed
Shop Circle,shopcircle.co,http://www.shopcircle.co,London,United Kingdom,2021,43.3M,0.004608294930875576,http://www.linkedin.com/company/shop-circle
Shuttle,shuttle.dev,http://www.shuttle.dev,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/shuttle-yc
Sidara,sidaracollaborative.com,http://www.sidaracollaborative.com,London,United Kingdom,1986,3B,0.08333333333333333,http://www.linkedin.com/company/sidara
Sidekick,sidekickmoney.com,http://www.sidekickmoney.com,London,United Kingdom,2022,1M,0.0,http://www.linkedin.com/company/sidekick-money
SIME Diagnostics,simedx.com,http://www.simedx.com,London,United Kingdom,2014,N/A,-0.2,http://www.linkedin.com/company/sime-diagnostics
Slipform Engineering,slipformengineering.co.uk,http://www.slipformengineering.co.uk,London,United Kingdom,2015,N/A,0.0,http://www.linkedin.com/company/slipform-engineering
SLNG,slng.ai,http://www.slng.ai,London,United Kingdom,2025,N/A,N/A,http://www.linkedin.com/company/slng-ai
Smiths Interconnect,smithsinterconnect.com,http://www.smithsinterconnect.com,London,United Kingdom,2008,558M,-0.007668711656441718,http://www.linkedin.com/company/smiths-interconnect
SOF (Substance Over Form Ltd.),sof-ltd.com,http://www.sof-ltd.com,London,United Kingdom,2014,N/A,0.0,http://www.linkedin.com/company/substance-over-form-limited
Sokin,sokin.com,http://www.sokin.com,London,United Kingdom,2019,29M,0.2428571428571429,http://www.linkedin.com/company/sokin
Solidatus,solidatus.com,http://www.solidatus.com,London,United Kingdom,2011,3.3M,0.0,http://www.linkedin.com/company/solidatus
SOLIVUS,solivus.com,http://www.solivus.com,London,United Kingdom,2016,2M,0.0,http://www.linkedin.com/company/solivus
Solo60,solo60.com,http://www.solo60.com,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/solosixty
SOLVE Chemistry,solvechemistry.com,http://www.solvechemistry.com,London,United Kingdom,2024,N/A,N/A,http://www.linkedin.com/company/solve-chemistry
Solve Intelligence,solveintelligence.com,http://www.solveintelligence.com,London,United Kingdom,2023,300K,0.4,http://www.linkedin.com/company/solve-intelligence
Spoon Cereals,spooncereals.co.uk,http://www.spooncereals.co.uk,London,United Kingdom,N/A,1.8M,N/A,http://www.linkedin.com/company/spoon-cereals-uk-ltd
SPORTL,sportl.co.uk,http://www.sportl.co.uk,London,United Kingdom,2025,N/A,0.0,http://www.linkedin.com/company/sportl-app
Spot Ship,spot-ship.com,http://www.spot-ship.com,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/spot-ship
Springpod,springpod.com,http://www.springpod.com,London,United Kingdom,2016,140.4M,0.0,http://www.linkedin.com/company/springpod
Sprive,sprive.com,http://www.sprive.com,London,United Kingdom,2019,450K,0.9,http://www.linkedin.com/company/sprive-com
Schroders Personal Wealth,spw.com,http://www.spw.com,London,United Kingdom,2019,228M,0.1428571428571428,http://www.linkedin.com/company/spw-wealth
Stacks,stacks.ai,http://www.stacks.ai,London,United Kingdom,N/A,N/A,0.0,http://www.linkedin.com/company/stacks-ai
Stackt,stackt.co.uk,http://www.stackt.co.uk,London,United Kingdom,2021,N/A,-0.1666666666666667,http://www.linkedin.com/company/stacktcouk
Stafford Capital Partners,staffordcp.com,http://www.staffordcp.com,London,United Kingdom,2000,N/A,0.0,http://www.linkedin.com/company/stafford-capital-partners
Stanhope AI,stanhopeai.com,http://www.stanhopeai.com,London,United Kingdom,2021,N/A,N/A,http://www.linkedin.com/company/stanhope-ai
Statera Energy,stateraenergy.co.uk,http://www.stateraenergy.co.uk,London,United Kingdom,2015,1M,0.0,http://www.linkedin.com/company/statera-energy-limited
STAXY,staxy.live,http://www.staxy.live,London,United Kingdom,N/A,N/A,0.0,http://www.linkedin.com/company/staxy
